,text,sentiment
0,"temporalthought No hehe I mean when you order from Honestbee, they put your order in a  ecobag Yung foodpanda walang ganung pauso",Negative
1,BikashT BhuwaniaAkash Zomato ZomatoIN JagoGrahakJago jagograhakjago BharatCourt We are trying to re,Neutral
2,zomatocare BhuwaniaAkash Zomato ZomatoIN JagoGrahakJago jagograhakjago BharatCourt,Neutral
3,swiggyin Get  off on your first  Swiggy orders Use code GRAB at checkout Max discount order TCA,Neutral
4,"Never use Zomato food service, they deliver worst quality food and there help desk executive had no politness",Negative
5,"zomatocare ZomatoIN Hi, I want a refund for my Zomato gold membership, I bought it at a separate set of TampCs we",Positive
6,"SwiggyCares horrible experience with swiggy today Received bad quality food from subway,  Had a word with custome",Negative
7,Very bad service,Negative
8,Is the policy change even allowed after PPL buy Zomato Gold membership ZomatoIN,Neutral
9,kinlag  bonchonthailand  Foodpanda,Neutral
10,The most amazing food delivery app I have never seen bz it doesnt deliver the food even after hrs of order You m,Positive
11,"Heres my review of Papaji amp Sons, Paschim Vihar on Zomato",Neutral
12,"swiggyin When hunger tweets, well help you handle it Get the Swiggy app now",Positive
13,"In those situations, I usually open the Swiggy app at am and order something that Ill regret the next morning",Negative
14,Aajkal Youtube kholta hoon toh aisa lagta hai Zomato ki site khol raha hoon,Neutral
15,"Was scrolling through foodpanda, but couldnt decide what to eat so I closed the app Dia keluar notification ni ay",Neutral
16,"CatchDoon Zomato ZomatoIN zomatocare Hi AD, We are sorry to hear this We would like to assure you that we have",Positive
17,SwiggyCares harshamjty you guys are really good at spoiling some ones occassionI have been cheated by you If you,Neutral
18,AkashVe SwiggyCares harshamjty you guys are really good at spoiling some ones occassionI have been cheated by you If you ar,Neutral
19,I dont know why I choose swiggy for spoiling my Birth Day,Neutral
20,Always knew that ZomatoINZomato sucks Fucking up their delivery boys by not paying them appropriately as promis,Negative
21,inazeyy Antara sites yang famous orang shopHermo Sephora FV Zalora Agoda Lazada Traveloka Foodpanda FaveReload pun boleh,Neutral
22,foodpandaIndia Still NO RESPONSEI sent my order ID as asked but nothingAfter being a loyal customer for mor,Positive
23,swiggyin Get  off on your first Swiggy order Use code BINGE No Minimum order value Max discount order TCA,Positive
24,"Check out Old fashioned  a cocktail with a twist at Headlines  For more, check out the Editors Notes on th",Neutral
25,CatchDoon Zomato ZomatoIN zomatocare When was this change announced Im a gold member and happy to see the inc,Positive
26,"Cooking is a basic life skill which should be mastered by all irrespective of age or gender, to take of self",Neutral
27,"Good bye FoodPandapk Worst customer support My last few orders were delivered after  mins, upon inquiry I got",Positive
28,"aurAdil We truly believe that customers are our first priority to be taken care of, do share us your order code an",Positive
29,"eatraveleternal Heres my review of Punjab Grill, Bandra Kurla Complex on Zomato",Neutral
30,No response till now,Negative
31,Worst experience with Zomato ZomatoIN,Negative
32,"foodpandaIndia I ordered from my fav restaurant,  order  was placed  mins ago, driver has been  minute away  pe",Positive
33,There is no number to contact zomato,Negative
34,zomatocare ZomatoIN Zomato swiggyin zomatocare your ASAP  and its more than hrs  Zomato monkeys ZomatoIN Zomato,Neutral
35,hansaraman ZomatoIN Zomato zomatocare We should lawyer up,Neutral
36,"BhuwaniaAkash Zomato ZomatoIN BharatCourt jagograhakjago JagoGrahakJago Hey Akash, we are getting this check",Neutral
37,"hansaraman ZomatoIN Zomato zomatocare Invoke arbitration for unfair enrichment, damages, loss of food, and mental agony",Negative
38,"foodpandaIndia craveparty is such a cheatofferTried ordering using the code During payments,got failed Now ca",Negative
39,Plengc  foodpanda,Neutral
40,ZomatoIN waiting for my my order for almost  hours not received the order yet  Talked to the zomato guys no supp,Negative
41,Swiggyzomato delivery atrocity Vadivelu troll video  Chennai  ChennaiVideo,Neutral
42,Techglares Foodpanda Offer  Flat  Off Upto RsCode  SAVEPls  and Share,Positive
43,neilshroff ZomatoIN Zomato zomatocare Essentially everything thst sounds good on a Twitter bio,Positive
44,"jerofire Hi, It is our endeavour to provide you with a seamless support with a satisfactory resolution Your DM fo",Positive
45,Perfect way to ruin your Sunday is to use SwiggyCares Every order is a struggle followed by random pathetic peopl,Negative
46,FoodPanda Loot Get Rs  Food Order at just Rs  only,Neutral
47,zomatocare i am sure u have my number  check it on my zomato account  id  rajangmailcom your team me,Positive
48,inconsumerforum  complaint number  is raised against SwiggyCares Order number  Thanks for del,Positive
49,"Startup Street Indias Answer To Amazon Go, Zomato Is Cracking The Whip, NeuroTags Is Fighting The Counterfeit Mar",Negative
50,RangaprasadKPR iamsullar swiggyin SwiggyCares harshamjty PoliceTamilnadu chennaipolice Yes Very true Yd,Positive
51,"Freaking pissed with foodpanda Experienced TWO order cancelled today, one for lunch and another for dinner now Ev",Negative
52,guys are millionaire because we And treating these guys like this wont make you ma,Positive
53,"ZomatoUAE Check out Old fashioned  a cocktail with a twist at Headlines  For more, check out the Editors Notes on the restaur",Neutral
54,Zomato Look into this matter pretty serious and shameful for you guys,Neutral
55,ankurkulkarni Zomato Zomato delivers very poor quality food We get good quality in same restaurant if we visit there insted,Negative
56,rvelvetseulrene foodpanda hahahaha charos,Neutral
57,swiggyin Get  off on your first  Swiggy orders Use code GRAB at checkout Max discount order TCA,Neutral
58,Zomato ZomatoIN zomatocare zomato This is not done You can not change conditions with which we have subscribed,Neutral
59,deepsanghvi Zomato ZomatoIN zomatocare zomato This is not done You can not change conditions with which we have subscribed post,Neutral
60,deepigoyal Zomato Order no this is horrible the butter chikhen is really nice and upto the mark b,Negative
61,ZomatoIN Zomato Order no this is horrible the butter chikhen is really nice and upto the mark but,Negative
62,PagluPiggu Aajkal Youtube kholta hoon toh aisa lagta hai Zomato ki site khol raha hoon,Neutral
63,prabirkumarhal deepigoyal Zomato Kebab instead of tikka  Theres a catchWe are getting this checked and we,Neutral
64,smollitions waduh abg foodpanda ni terhibur aku,Neutral
65,"swiggyin SwiggyCares Hi Swiggy, wrong items were delivered twice in a single day First time I didnt complain",Negative
66,"Treats from the FarEast available in PuneHave a look at this Review of Wok Hei, Aundh, Pune on Zomato",Neutral
67,ZomatoIN What a pathetic services Got a call from restaurant saying the delivery boy is unavailable Ph,Negative
68,Foodpanda online food order Voucher  off   Cashback,Neutral
69,AxisBank That moment when you enjoy a sweet moment of solitude Enjoy  off on Zomato orders with Axis Bank Credit and Debit Cards,Positive
70,"Love checksin on Twitter How Zomato, OYO, Starbucks celebrated Section  ruling",Positive
71,"GooglePayIndia please support Zomato Order and BookMyShow as well, thanks",Positive
72,"ZomatoIN Zomato Order booked at , and its been  minutes Is Zomato seriously an online food app",Negative
73,eo Nephew wanted a pizza at the last moment when in railway station swiggy delivered on the platform likeadream,Neutral
74,swiggyin Get  off on your first  Swiggy orders Use code GRAB at checkout Max discount order TCA,Neutral
75,"foodpandaIndia ORDER ID bckqt Order confirmed at pm,  minutes was expected time but till now order has",Neutral
76,zomatocare deepigoyal Zomato When Its already  hours gone,Neutral
77,Foodpanda  Flat  Off Upto Rs on all Food Orders All Users   CB upto  via PhonepeUse code  GET,Neutral
78,MyIndianBank Give a treat to your taste buds with delicious food from Zomato without worrying about expenses Pay using Indian Bank Ma,Positive
79,Amazondeals Foodpanda  Flat  Off Upto Rs on all Food Orders All Users   CB upto  via PhonepeUse code  GETLi,Neutral
80,kutumb kutumbthali  indias biggest thali foodie foodbloger foodgasm foodlover zomato zomatoconnoisseur,Neutral
81,"foodpandaIndia Cravings can strike anytime, anywhere Indulge them with foodpanda at CraveParty, the Biggest Food Party in Town S",Positive
