text,sentiment
"temporalthought No hehe I mean when you order from Honestbee, they put your order in a  ecobag Yung foodpanda walang ganung pauso",0
BikashT BhuwaniaAkash Zomato ZomatoIN JagoGrahakJago jagograhakjago BharatCourt We are trying to re,2
zomatocare BhuwaniaAkash Zomato ZomatoIN JagoGrahakJago jagograhakjago BharatCourt,2
swiggyin Get  off on your first  Swiggy orders Use code GRAB at checkout Max discount order TCA,2
"Never use Zomato food service, they deliver worst quality food and there help desk executive had no politness",0
"zomatocare ZomatoIN Hi, I want a refund for my Zomato gold membership, I bought it at a separate set of TampCs we",1
"SwiggyCares horrible experience with swiggy today Received bad quality food from subway,  Had a word with custome",0
Very bad service,0
Is the policy change even allowed after PPL buy Zomato Gold membership ZomatoIN,2
kinlag  bonchonthailand  Foodpanda,2
The most amazing food delivery app I have never seen bz it doesnt deliver the food even after hrs of order You m,1
"Heres my review of Papaji amp Sons, Paschim Vihar on Zomato",2
"swiggyin When hunger tweets, well help you handle it Get the Swiggy app now",1
"In those situations, I usually open the Swiggy app at am and order something that Ill regret the next morning",0
Aajkal Youtube kholta hoon toh aisa lagta hai Zomato ki site khol raha hoon,2
"Was scrolling through foodpanda, but couldnt decide what to eat so I closed the app Dia keluar notification ni ay",2
"CatchDoon Zomato ZomatoIN zomatocare Hi AD, We are sorry to hear this We would like to assure you that we have",1
SwiggyCares harshamjty you guys are really good at spoiling some ones occassionI have been cheated by you If you,2
AkashVe SwiggyCares harshamjty you guys are really good at spoiling some ones occassionI have been cheated by you If you ar,2
I dont know why I choose swiggy for spoiling my Birth Day,2
Always knew that ZomatoINZomato sucks Fucking up their delivery boys by not paying them appropriately as promis,0
inazeyy Antara sites yang famous orang shopHermo Sephora FV Zalora Agoda Lazada Traveloka Foodpanda FaveReload pun boleh,2
foodpandaIndia Still NO RESPONSEI sent my order ID as asked but nothingAfter being a loyal customer for mor,1
swiggyin Get  off on your first Swiggy order Use code BINGE No Minimum order value Max discount order TCA,1
"Check out Old fashioned  a cocktail with a twist at Headlines  For more, check out the Editors Notes on th",2
CatchDoon Zomato ZomatoIN zomatocare When was this change announced Im a gold member and happy to see the inc,1
"Cooking is a basic life skill which should be mastered by all irrespective of age or gender, to take of self",2
"Good bye FoodPandapk Worst customer support My last few orders were delivered after  mins, upon inquiry I got",1
"aurAdil We truly believe that customers are our first priority to be taken care of, do share us your order code an",1
"eatraveleternal Heres my review of Punjab Grill, Bandra Kurla Complex on Zomato",2
No response till now,0
Worst experience with Zomato ZomatoIN,0
"foodpandaIndia I ordered from my fav restaurant,  order  was placed  mins ago, driver has been  minute away  pe",1
There is no number to contact zomato,0
zomatocare ZomatoIN Zomato swiggyin zomatocare your ASAP  and its more than hrs  Zomato monkeys ZomatoIN Zomato,2
hansaraman ZomatoIN Zomato zomatocare We should lawyer up,2
"BhuwaniaAkash Zomato ZomatoIN BharatCourt jagograhakjago JagoGrahakJago Hey Akash, we are getting this check",2
"hansaraman ZomatoIN Zomato zomatocare Invoke arbitration for unfair enrichment, damages, loss of food, and mental agony",0
"foodpandaIndia craveparty is such a cheatofferTried ordering using the code During payments,got failed Now ca",0
Plengc  foodpanda,2
ZomatoIN waiting for my my order for almost  hours not received the order yet  Talked to the zomato guys no supp,0
Swiggyzomato delivery atrocity Vadivelu troll video  Chennai  ChennaiVideo,2
Techglares Foodpanda Offer  Flat  Off Upto RsCode  SAVEPls  and Share,1
neilshroff ZomatoIN Zomato zomatocare Essentially everything thst sounds good on a Twitter bio,1
